seqName,source,feature,start,end,score,strand,frame,attributes
contig_953,Prodigal:002006,CDS,596,1589,.,-,0,"{'ID': 'FDGAGDLB_00001', 'Name': 'dctP_1', 'db_xref': 'COG:COG1638', 'gene': 'dctP_1', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,1843,2770,.,-,0,"{'ID': 'FDGAGDLB_00002', 'eC_number': '4.2.1.41', 'db_xref': 'COG:COG0329', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,3062,3827,.,+,0,"{'ID': 'FDGAGDLB_00003', 'eC_number': '4.2.1.80', 'Name': 'mhpD', 'db_xref': 'COG:COG3971', 'gene': 'mhpD', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,3924,4824,.,-,0,"{'ID': 'FDGAGDLB_00004', 'eC_number': '3.1.1.99', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,5054,5771,.,-,0,"{'ID': 'FDGAGDLB_00005', 'Name': 'lutR_1', 'db_xref': 'COG:COG2186', 'gene': 'lutR_1', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,5866,6853,.,-,0,"{'ID': 'FDGAGDLB_00006', 'Name': 'yphB', 'db_xref': 'COG:COG2017', 'gene': 'yphB', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,7016,7748,.,+,0,"{'ID': 'FDGAGDLB_00007', 'Name': 'lutR_2', 'db_xref': 'COG:COG2186', 'gene': 'lutR_2', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,7802,8570,.,-,0,"{'ID': 'FDGAGDLB_00008', 'eC_number': '3.1.3.18', 'Name': 'gph_1', 'gene': 'gph_1', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,8763,10362,.,+,0,"{'ID': 'FDGAGDLB_00009', 'eC_number': '2.7.1.16', 'Name': 'araB_1', 'db_xref': 'COG:COG1069', 'gene': 'araB_1', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,10594,13741,.,-,0,"{'ID': 'FDGAGDLB_00010', 'Name': 'acrB', 'db_xref': 'COG:COG0841', 'gene': 'acrB', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,13752,14952,.,-,0,"{'ID': 'FDGAGDLB_00011', 'Name': 'acrE', 'gene': 'acrE', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,15089,15758,.,+,0,"{'ID': 'FDGAGDLB_00012', 'inference': 'ab'}"
contig_953,Prodigal:002006,CDS,15987,17151,.,+,0,"{'ID': 'FDGAGDLB_00013', 'inference': 'ab'}"
