locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDGAGDLB_00001	CDS	993	dctP_1		COG1638	Solute-binding protein
FDGAGDLB_00002	CDS	927		4.2.1.41	COG0329	putative 5-dehydro-4-deoxyglucarate dehydratase
FDGAGDLB_00003	CDS	765	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
FDGAGDLB_00004	CDS	900		3.1.1.99		6-deoxy-6-sulfogluconolactonase
FDGAGDLB_00005	CDS	717	lutR_1		COG2186	HTH-type transcriptional regulator LutR
FDGAGDLB_00006	CDS	987	yphB		COG2017	putative protein YphB
FDGAGDLB_00007	CDS	732	lutR_2		COG2186	HTH-type transcriptional regulator LutR
FDGAGDLB_00008	CDS	768	gph_1	3.1.3.18		Phosphoglycolate phosphatase
FDGAGDLB_00009	CDS	1599	araB_1	2.7.1.16	COG1069	Ribulokinase
FDGAGDLB_00010	CDS	3147	acrB		COG0841	Multidrug efflux pump subunit AcrB
FDGAGDLB_00011	CDS	1200	acrE			Multidrug export protein AcrE
FDGAGDLB_00012	CDS	669				hypothetical protein
FDGAGDLB_00013	CDS	1164				hypothetical protein
FDGAGDLB_00014	CDS	396				hypothetical protein
FDGAGDLB_00015	CDS	987				hypothetical protein
FDGAGDLB_00016	CDS	786	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
FDGAGDLB_00017	CDS	933				hypothetical protein
FDGAGDLB_00018	CDS	2415	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
FDGAGDLB_00019	CDS	1182				hypothetical protein
FDGAGDLB_00020	CDS	483				hypothetical protein
FDGAGDLB_00021	CDS	435				hypothetical protein
FDGAGDLB_00022	CDS	717				hypothetical protein
FDGAGDLB_00023	CDS	789				hypothetical protein
FDGAGDLB_00024	CDS	723	lutR_3		COG2186	HTH-type transcriptional regulator LutR
FDGAGDLB_00025	CDS	1188	aar	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
FDGAGDLB_00026	CDS	1269				hypothetical protein
FDGAGDLB_00027	CDS	942	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
FDGAGDLB_00028	CDS	852	sugB_1		COG0395	Trehalose transport system permease protein SugB
FDGAGDLB_00029	CDS	1122	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
